2026-02-09 23:49:25 - M5Trainer - INFO -   井 SY9: 1025 条同化数据
2026-02-09 23:49:25 - M5Trainer - INFO -   M3 PVT cg(76.0, 141.39) = 0.009744
2026-02-09 23:49:25 - M5Trainer - INFO -   M3 PVT Bg(76.0, 141.39) = 0.002577
2026-02-09 23:49:25 - M5Trainer - INFO -   PDE 缩放: αx=1.017765, αy=2.546600
2026-02-09 23:49:25 - M5Trainer - INFO - M5Trainer 初始化完成: device=cuda, lr=0.001, max_steps=8000, relobralo=True, rar=True
2026-02-09 23:49:25 - M5Trainer - INFO - ============================================================
2026-02-09 23:49:25 - M5Trainer - INFO - M5 PINN 井—藏耦合同化训练开始
2026-02-09 23:49:25 - M5Trainer - INFO - ============================================================
2026-02-09 23:50:55 - M5Trainer - INFO - [Step  3100/8000] Stage B | L=2.7675e-03 (IC=1.095e-02, BC=6.091e-05, PDE=2.090e-01, Qg=3.490e+02) | k=4.94 mD, f=9.9 | Sw=[0.423,0.996] | 90.3s
2026-02-09 23:51:00 - M5Trainer - INFO - [Step  3200/8000] Stage B | L=1.5406e-02 (IC=2.567e-02, BC=9.415e-03, PDE=2.626e-01, Qg=1.926e+02) | k=4.94 mD, f=9.9 | Sw=[0.514,0.995] | 95.0s
2026-02-09 23:51:05 - M5Trainer - INFO - [Step  3300/8000] Stage B | L=5.7057e-03 (IC=1.456e-02, BC=1.507e-04, PDE=2.058e-01, Qg=5.518e+02) | k=4.93 mD, f=9.9 | Sw=[0.421,0.993] | 99.6s
2026-02-09 23:51:09 - M5Trainer - INFO - [Step  3400/8000] Stage B | L=4.5414e-03 (IC=1.270e-02, BC=1.012e-03, PDE=1.744e-01, Qg=3.876e+02) | k=4.93 mD, f=9.9 | Sw=[0.477,0.993] | 104.4s
2026-02-09 23:51:14 - M5Trainer - INFO - [Step  3500/8000] Stage B | L=3.2660e-03 (IC=6.780e-03, BC=4.372e-04, PDE=2.926e-01, Qg=1.952e+02) | k=4.93 mD, f=9.9 | Sw=[0.281,0.994] | 109.2s
2026-02-09 23:51:19 - M5Trainer - INFO - [Step  3600/8000] Stage B | L=1.0833e-02 (IC=1.898e-02, BC=2.474e-05, PDE=1.456e-01, Qg=9.966e+00) | k=4.92 mD, f=9.9 | Sw=[0.290,0.994] | 113.9s
2026-02-09 23:51:23 - M5Trainer - INFO - [Step  3700/8000] Stage B | L=2.7419e-03 (IC=5.645e-03, BC=9.352e-04, PDE=1.986e-01, Qg=4.958e+02) | k=4.92 mD, f=9.9 | Sw=[0.462,0.990] | 118.5s
2026-02-09 23:51:28 - M5Trainer - INFO - [Step  3800/8000] Stage B | L=1.0582e-03 (IC=1.437e-03, BC=1.390e-05, PDE=1.555e-01, Qg=5.097e+00) | k=4.92 mD, f=9.9 | Sw=[0.366,0.989] | 123.3s
2026-02-09 23:51:33 - M5Trainer - INFO - [Step  3900/8000] Stage B | L=1.5010e-03 (IC=7.862e-04, BC=6.507e-05, PDE=1.716e-01, Qg=5.234e+00) | k=4.92 mD, f=9.9 | Sw=[0.648,0.989] | 128.0s
2026-02-09 23:51:38 - M5Trainer - INFO - [Step  4000/8000] Stage C | L=2.2305e-03 (IC=1.023e-03, BC=1.402e-05, PDE=1.897e-01, Qg=8.668e+00) | k=4.92 mD, f=9.9 | Sw=[0.313,0.988] | 132.7s
2026-02-09 23:51:42 - M5Trainer - INFO - [Step  4100/8000] Stage C | L=2.1789e-03 (IC=1.983e-03, BC=1.833e-05, PDE=1.662e-01, Qg=1.749e+01) | k=4.92 mD, f=9.9 | Sw=[0.424,0.988] | 137.4s
2026-02-09 23:51:47 - M5Trainer - INFO - [Step  4200/8000] Stage C | L=2.4352e-03 (IC=1.334e-03, BC=6.683e-06, PDE=1.635e-01, Qg=5.349e+00) | k=4.92 mD, f=9.9 | Sw=[0.386,0.987] | 142.1s
2026-02-09 23:51:52 - M5Trainer - INFO - [Step  4300/8000] Stage C | L=2.9490e-03 (IC=1.332e-03, BC=4.710e-06, PDE=1.651e-01, Qg=5.164e+00) | k=4.92 mD, f=9.9 | Sw=[0.426,0.987] | 146.8s
2026-02-09 23:51:57 - M5Trainer - INFO - [Step  4400/8000] Stage C | L=3.7457e-03 (IC=2.014e-03, BC=2.013e-06, PDE=1.743e-01, Qg=6.335e+00) | k=4.92 mD, f=9.9 | Sw=[0.341,0.983] | 151.6s
2026-02-09 23:52:01 - M5Trainer - INFO - [Step  4500/8000] Stage C | L=5.8126e-03 (IC=1.614e-03, BC=1.796e-05, PDE=2.022e-01, Qg=5.956e+00) | k=4.92 mD, f=9.9 | Sw=[0.457,0.982] | 156.4s
2026-02-09 23:52:06 - M5Trainer - INFO - [Step  4600/8000] Stage C | L=5.3209e-03 (IC=1.865e-03, BC=1.177e-05, PDE=1.767e-01, Qg=7.114e+00) | k=4.92 mD, f=9.9 | Sw=[0.323,0.975] | 161.1s
2026-02-09 23:52:11 - M5Trainer - INFO - [Step  4700/8000] Stage C | L=5.4782e-03 (IC=1.419e-03, BC=5.529e-06, PDE=1.669e-01, Qg=6.144e+00) | k=4.92 mD, f=9.9 | Sw=[0.351,0.960] | 166.0s
2026-02-09 23:52:16 - M5Trainer - INFO - [Step  4800/8000] Stage C | L=2.1154e-02 (IC=1.254e-02, BC=1.973e-03, PDE=2.081e-01, Qg=1.771e+02) | k=4.92 mD, f=9.9 | Sw=[0.390,0.812] | 170.9s
2026-02-09 23:52:21 - M5Trainer - INFO - [Step  4900/8000] Stage C | L=6.1890e-03 (IC=1.576e-03, BC=4.287e-06, PDE=1.714e-01, Qg=5.401e+00) | k=4.91 mD, f=9.9 | Sw=[0.322,0.971] | 175.8s
2026-02-09 23:52:25 - M5Trainer - INFO - [Step  5000/8000] Stage C | L=7.1183e-03 (IC=1.829e-03, BC=1.698e-06, PDE=1.673e-01, Qg=4.802e+00) | k=4.91 mD, f=9.9 | Sw=[0.505,0.958] | 180.6s
2026-02-09 23:52:30 - M5Trainer - INFO - [Step  5100/8000] Stage C | L=5.6804e-03 (IC=1.597e-03, BC=3.851e-06, PDE=1.369e-01, Qg=3.473e+00) | k=4.91 mD, f=9.9 | Sw=[0.354,0.894] | 185.1s
2026-02-09 23:52:35 - M5Trainer - INFO - [Step  5200/8000] Stage C | L=1.1971e-03 (IC=8.872e-04, BC=3.172e-06, PDE=5.662e-02, Qg=1.324e+01) | k=4.91 mD, f=9.9 | Sw=[0.248,0.612] | 190.2s
2026-02-09 23:52:40 - M5Trainer - INFO - [Step  5300/8000] Stage C | L=6.6678e-03 (IC=9.641e-04, BC=1.588e-06, PDE=1.426e-01, Qg=2.192e+01) | k=4.89 mD, f=9.9 | Sw=[0.358,0.865] | 195.2s
2026-02-09 23:52:45 - M5Trainer - INFO - [Step  5400/8000] Stage C | L=1.9508e-03 (IC=9.033e-04, BC=1.632e-06, PDE=6.901e-02, Qg=9.002e+00) | k=4.89 mD, f=9.9 | Sw=[0.272,0.624] | 199.8s
2026-02-09 23:52:50 - M5Trainer - INFO - [Step  5500/8000] Stage C | L=1.3902e+00 (IC=1.209e-02, BC=8.435e-03, PDE=8.797e-02, Qg=7.529e+03) | k=4.89 mD, f=9.9 | Sw=[0.356,0.701] | 205.2s
2026-02-09 23:52:56 - M5Trainer - INFO - [Step  5600/8000] Stage C | L=3.5359e-03 (IC=1.110e-03, BC=9.189e-06, PDE=8.701e-02, Qg=4.669e+00) | k=4.88 mD, f=9.9 | Sw=[0.264,0.709] | 210.9s
2026-02-09 23:53:01 - M5Trainer - INFO - [Step  5700/8000] Stage C | L=2.3154e-02 (IC=7.076e-03, BC=7.073e-03, PDE=1.289e-01, Qg=3.375e+02) | k=4.87 mD, f=9.9 | Sw=[0.279,0.845] | 215.9s
2026-02-09 23:53:06 - M5Trainer - INFO - [Step  5800/8000] Stage C | L=2.6267e-03 (IC=1.163e-03, BC=2.892e-06, PDE=6.539e-02, Qg=4.830e+00) | k=4.87 mD, f=9.9 | Sw=[0.243,0.653] | 221.0s
2026-02-09 23:53:11 - M5Trainer - INFO - [Step  5900/8000] Stage C | L=9.2220e-04 (IC=7.381e-04, BC=2.952e-06, PDE=3.447e-02, Qg=1.090e+01) | k=4.87 mD, f=9.9 | Sw=[0.227,0.505] | 226.2s
2026-02-09 23:53:16 - M5Trainer - INFO - [Step  6000/8000] Stage C | L=1.0946e-02 (IC=2.807e-03, BC=2.479e-04, PDE=7.364e-02, Qg=3.397e+02) | k=4.87 mD, f=9.9 | Sw=[0.307,0.703] | 231.5s
2026-02-09 23:53:22 - M5Trainer - INFO - [Step  6100/8000] Stage C | L=5.0529e-03 (IC=1.309e-03, BC=7.080e-06, PDE=7.479e-02, Qg=3.676e+00) | k=4.86 mD, f=9.9 | Sw=[0.280,0.718] | 236.9s
2026-02-09 23:53:27 - M5Trainer - INFO - [Step  6200/8000] Stage C | L=4.3304e-03 (IC=1.241e-03, BC=8.354e-06, PDE=6.417e-02, Qg=4.704e+00) | k=4.86 mD, f=9.9 | Sw=[0.275,0.696] | 242.3s
2026-02-09 23:53:33 - M5Trainer - INFO - [Step  6300/8000] Stage C | L=3.5898e-03 (IC=1.083e-03, BC=9.826e-06, PDE=5.428e-02, Qg=5.007e+00) | k=4.85 mD, f=9.8 | Sw=[0.260,0.660] | 247.8s
2026-02-09 23:53:38 - M5Trainer - INFO - [Step  6400/8000] Stage D | L=3.3216e-03 (IC=7.605e-04, BC=5.915e-06, PDE=5.017e-02, Qg=5.005e+00) | k=4.85 mD, f=9.8 | Sw=[0.249,0.623] | 253.1s
2026-02-09 23:53:43 - M5Trainer - INFO - [Step  6500/8000] Stage D | L=6.5605e-04 (IC=6.575e-04, BC=8.707e-06, PDE=1.902e-02, Qg=1.036e+01) | k=4.85 mD, f=9.8 | Sw=[0.217,0.466] | 258.4s
2026-02-09 23:53:49 - M5Trainer - INFO - [Step  6600/8000] Stage D | L=2.1469e+00 (IC=9.129e-04, BC=4.553e-04, PDE=1.394e-02, Qg=4.538e+03) | k=4.85 mD, f=9.8 | Sw=[0.219,0.419] | 263.6s
2026-02-09 23:53:54 - M5Trainer - INFO - [Step  6700/8000] Stage D | L=8.7074e-03 (IC=3.367e-03, BC=1.199e-04, PDE=3.130e-02, Qg=1.843e+02) | k=4.85 mD, f=9.8 | Sw=[0.283,0.577] | 268.9s
2026-02-09 23:53:59 - M5Trainer - INFO - [Step  6800/8000] Stage D | L=1.5712e-03 (IC=8.406e-04, BC=2.357e-06, PDE=2.319e-02, Qg=3.877e+01) | k=4.85 mD, f=9.8 | Sw=[0.253,0.527] | 274.4s
