2026-02-10 18:31:23 - M5Trainer - INFO -   torch.compile 已跳过 (Triton 不支持 Windows, 使用 eager 模式)
2026-02-10 18:31:24 - M5Trainer - INFO -   井 SY9: 1025 条同化数据
2026-02-10 18:31:24 - M5Trainer - INFO -   M3 PVT cg(76.0, 141.39) = 0.009744
2026-02-10 18:31:24 - M5Trainer - INFO -   M3 PVT Bg(76.0, 141.39) = 0.002577
2026-02-10 18:31:24 - M5Trainer - INFO -   PDE 缩放: αx=1.017765, αy=2.546600
2026-02-10 18:31:24 - M5Trainer - INFO - M5Trainer 初始化完成: device=cuda, lr=0.001, max_steps=50000, relobralo=True, rar=True
2026-02-10 18:31:24 - M5Trainer - INFO - ============================================================
2026-02-10 18:31:24 - M5Trainer - INFO - M5 PINN 井—藏耦合同化训练开始
2026-02-10 18:31:24 - M5Trainer - INFO - ============================================================
2026-02-10 18:38:20 - M5Trainer - INFO - [Step  3000/50000] Stage A | L=1.2113e+01 (IC=1.497e-03, BC=1.596e-04, PDE=5.843e+05, Qg=2.104e+00) | k=5.00 mD, f=9.9 | Sw=[0.173,0.411] | 416.6s
2026-02-10 18:38:36 - M5Trainer - INFO - [Step  3100/50000] Stage A | L=2.6000e+00 (IC=1.163e-03, BC=8.267e-05, PDE=2.694e+05, Qg=4.521e+00) | k=5.00 mD, f=9.9 | Sw=[0.182,0.656] | 432.5s
2026-02-10 18:38:52 - M5Trainer - INFO - [Step  3200/50000] Stage A | L=1.0278e+00 (IC=1.056e-03, BC=4.176e-05, PDE=1.615e+05, Qg=5.269e+00) | k=5.00 mD, f=9.9 | Sw=[0.185,0.718] | 448.3s
2026-02-10 18:39:08 - M5Trainer - INFO - [Step  3300/50000] Stage A | L=7.9385e-01 (IC=9.100e-04, BC=4.619e-05, PDE=1.341e+05, Qg=5.478e+00) | k=5.00 mD, f=9.9 | Sw=[0.174,0.731] | 464.2s
2026-02-10 18:39:24 - M5Trainer - INFO - [Step  3400/50000] Stage A | L=7.6010e-01 (IC=7.800e-04, BC=1.908e-04, PDE=1.235e+05, Qg=5.574e+00) | k=5.00 mD, f=9.9 | Sw=[0.200,0.764] | 480.0s
2026-02-10 18:39:40 - M5Trainer - INFO - [Step  3500/50000] Stage A | L=8.3185e-01 (IC=7.192e-04, BC=9.471e-05, PDE=1.137e+05, Qg=5.595e+00) | k=5.00 mD, f=9.9 | Sw=[0.178,0.797] | 495.9s
2026-02-10 18:39:56 - M5Trainer - INFO - [Step  3600/50000] Stage A | L=9.2138e-01 (IC=6.987e-04, BC=8.856e-05, PDE=1.150e+05, Qg=5.487e+00) | k=5.00 mD, f=9.9 | Sw=[0.169,0.825] | 512.2s
2026-02-10 18:40:12 - M5Trainer - INFO - [Step  3700/50000] Stage A | L=8.5674e-01 (IC=6.084e-03, BC=4.403e-03, PDE=1.083e+05, Qg=5.514e+00) | k=5.00 mD, f=9.9 | Sw=[0.148,0.733] | 528.4s
2026-02-10 18:40:29 - M5Trainer - INFO - [Step  3800/50000] Stage A | L=1.7502e+00 (IC=5.770e-03, BC=6.419e-03, PDE=1.687e+05, Qg=5.377e+00) | k=5.00 mD, f=9.9 | Sw=[0.172,0.649] | 544.7s
2026-02-10 18:40:45 - M5Trainer - INFO - [Step  3900/50000] Stage A | L=1.7811e+00 (IC=1.211e-03, BC=6.018e-04, PDE=1.547e+05, Qg=5.460e+00) | k=5.00 mD, f=9.9 | Sw=[0.171,0.732] | 561.0s
2026-02-10 18:41:01 - M5Trainer - INFO - [Step  4000/50000] Stage A | L=1.1627e+00 (IC=8.545e-04, BC=9.096e-05, PDE=1.175e+05, Qg=5.604e+00) | k=5.00 mD, f=9.9 | Sw=[0.150,0.715] | 577.3s
